



,ADAPTACION DE SUCURSAL CD. CUAUHTEMOC CHIHUAHUA CR 152

Clave,Concepto,Unidad,Cantidad,P.U.,Importe
01-PRE,PRELIMINARES Y DEMOLICIONES,,,,
01-PRE-005,PROTECCION DE AREAS ADYACENTES PREVIA A DEMOLICIONES A BASE DE PLASTICO CAL. 700 Y LONA,LOTE,1.0,,
01-PRE-010,RETIRO DE RECUBRIMIENTO EXISTENTE EN MUROS DE ADOBE DE FACHADA FRONTAL POR MEDIOS MANUALES,M2,40.0,,
01-PRE-020,DEMOLICION DE FIRME DE CONCRETO EXISTENTE EN COCHERA DE E=10 CM POR MEDIOS MECANICOS,M2,35.0,,
01-PRE-030,DEMOLICION DE MOLDURAS PERIMETRALES EXISTENTES EN FACHADA POR MEDIOS MANUALES,LOTE,1.0,,
02-ALB,ALBAÑILERIA Y RECUBRIMIENTOS,,,,
02-ALB-005,RESANE Y REPOSICION PUNTUAL DE PIEZAS DE ADOBE DANADAS CON MORTERO DE BARRO-CAL COMPATIBLE,M2,6.0,,
02-ALB-010,APLANADO REPELLADO Y AFINADO LISO EN MUROS DE ADOBE CON MORTERO CAL-ARENA PROP. 1:3,M2,40.0,,
02-ALB-020,APLICACION DE ESTUCO EN MUROS PERIMETRALES DE FACHADA SEGUN MUESTRA APROBADA,M2,30.0,,
02-ALB-030,"CONSTRUCCION DE MURETE EN FACHADA A BASE DE BLOCK DE CONCRETO 15x20x40 CM, ALTURA HASTA 1.00 M",ML,4.0,,
02-ALB-035,"SUMINISTRO, TENDIDO Y COMPACTACION DE MATERIAL DE BANCO PARA NIVELACION DE BASE EN COCHERA",M3,2.5,,
02-ALB-040,FIRME DE CONCRETO F'C=200 KG/CM2 DE 10 CM EN COCHERA ARMADO CON MALLA 6x6-10/10,M2,35.0,,
03-PLA,PLAFONES,,,,
03-PLA-010,SUM. Y COLOC. DE PLAFON CORRIDO EN COCHERA A BASE DE PANEL DE YESO PARA EXTERIOR DE 12.7 MM,M2,35.0,,
03-PLA-020,"DETALLADO DE CAJILLOS EXTERIORES CON PLAFON DE PANEL DE YESO, DESARROLLO HASTA 60 CM",ML,15.0,,
04-PIN,PINTURA,,,,
04-PIN-010,APLICACION DE PINTURA VINIL-ACRILICA PARA EXTERIOR A 2 MANOS SOBRE SELLADOR ACRILICO 5X1,M2,90.0,,
04-PIN-020,APLICACION DE SELLADOR Y PINTURA ELASTOMERICA TRANSPIRABLE A 2 MANOS EN LADRILLO APARENTE,M2,15.0,,
05-HOJ,HOJALATERIA,,,,
05-HOJ-010,REUBICACION DE CANALON DE LAMINA GALVANIZADA EXISTENTE SEGUN NUEVA POSICION,ML,8.0,,
06-LIM,LIMPIEZA Y ACARREOS,,,,
06-LIM-010,CARGA Y ACARREO EN CAMION DE MATERIAL PRODUCTO DE DEMOLICIONES A TIRO AUTORIZADO,M3,8.0,,
06-LIM-020,LIMPIEZA GRUESA Y FINA DE LAS AREAS INTERVENIDAS AL TERMINO DE LOS TRABAJOS,LOTE,1.0,,
