



,REMODELACION DE FACHADA FRONTAL CASA AV. ORTIZ MENA

Clave,Concepto,Unidad,Cantidad,P.U.,Importe
01-PRE,PRELIMINARES Y DEMOLICIONES,,,,12875.0
01-PRE-005,PROTECCION DE AREAS ADYACENTES PREVIA A DEMOLICIONES A BASE DE PLASTICO CAL. 700 Y LONA,LOTE,1.0,850.0,850.0
01-PRE-010,RETIRO DE RECUBRIMIENTO EXISTENTE EN MUROS DE ADOBE DE FACHADA FRONTAL POR MEDIOS MANUALES,M2,40.0,95.0,3800.0
01-PRE-020,DEMOLICION DE FIRME DE CONCRETO EXISTENTE EN COCHERA DE E=10 CM POR MEDIOS MECANICOS,M2,35.0,135.0,4725.0
01-PRE-030,DEMOLICION DE MOLDURAS PERIMETRALES EXISTENTES EN FACHADA POR MEDIOS MANUALES,LOTE,1.0,3500.0,3500.0
02-ALB,ALBAÑILERIA Y RECUBRIMIENTOS,,,,39590.0
02-ALB-005,RESANE Y REPOSICION PUNTUAL DE PIEZAS DE ADOBE DANADAS CON MORTERO DE BARRO-CAL COMPATIBLE,M2,6.0,185.0,1110.0
02-ALB-010,APLANADO REPELLADO Y AFINADO LISO EN MUROS DE ADOBE CON MORTERO CAL-ARENA PROP. 1:3,M2,40.0,340.0,13600.0
02-ALB-020,APLICACION DE ESTUCO EN MUROS PERIMETRALES DE FACHADA SEGUN MUESTRA APROBADA,M2,30.0,180.0,5400.0
02-ALB-030,"CONSTRUCCION DE MURETE EN FACHADA A BASE DE BLOCK DE CONCRETO 15x20x40 CM, ALTURA HASTA 1.00 M",ML,4.0,795.0,3180.0
02-ALB-035,"SUMINISTRO, TENDIDO Y COMPACTACION DE MATERIAL DE BANCO PARA NIVELACION DE BASE EN COCHERA",M3,2.5,290.0,725.0
02-ALB-040,FIRME DE CONCRETO F'C=200 KG/CM2 DE 10 CM EN COCHERA ARMADO CON MALLA 6x6-10/10,M2,35.0,445.0,15575.0
03-PLA,PLAFONES,,,,23450.0
03-PLA-010,SUM. Y COLOC. DE PLAFON CORRIDO EN COCHERA A BASE DE PANEL DE YESO PARA EXTERIOR DE 12.7 MM,M2,35.0,520.0,18200.0
03-PLA-020,"DETALLADO DE CAJILLOS EXTERIORES CON PLAFON DE PANEL DE YESO, DESARROLLO HASTA 60 CM",ML,15.0,350.0,5250.0
04-PIN,PINTURA,,,,10725.0
04-PIN-010,APLICACION DE PINTURA VINIL-ACRILICA PARA EXTERIOR A 2 MANOS SOBRE SELLADOR ACRILICO 5X1,M2,90.0,95.0,8550.0
04-PIN-020,APLICACION DE SELLADOR Y PINTURA ELASTOMERICA TRANSPIRABLE A 2 MANOS EN LADRILLO APARENTE,M2,15.0,145.0,2175.0
05-HOJ,HOJALATERIA,,,,2080.0
05-HOJ-010,REUBICACION DE CANALON DE LAMINA GALVANIZADA EXISTENTE SEGUN NUEVA POSICION,ML,8.0,260.0,2080.0
06-LIM,LIMPIEZA Y ACARREOS,,,,3680.0
06-LIM-010,CARGA Y ACARREO EN CAMION DE MATERIAL PRODUCTO DE DEMOLICIONES A TIRO AUTORIZADO,M3,8.0,210.0,1680.0
06-LIM-020,LIMPIEZA GRUESA Y FINA DE LAS AREAS INTERVENIDAS AL TERMINO DE LOS TRABAJOS,LOTE,1.0,2000.0,2000.0
